349路,11052|865|6194|10008|10230|10416|1253|6798|5584|5000|2552|9907|2608|560|9992|6345|3862|11056|8852|2339
350路,3564|8356|11591|9217|10053|2519|10812|11495|6635|419|1511|2111|11836|9900|513|3404|10881|5986|6472|2192|2454|1945|6964|6479|837|3170
351路,2282|4524|5228|11269|1686|7824|11783|74|4272|11237|1182|4076|7926|8641|11233|746|11271|866|9907|5186|2427
352路,4290|1926|714|3138|3198|803|2656|7193|2484|4865|6539|8465|849|5596|10684|8578
353路,118|7962|11233|8641|8103|7269|2562|993|9544|8496|470|4809|5558|1861|5345|510|5120|8344|9974
355路,6812|7168|11974|11470|7654|4068|1333|1946|1464|7245|1905|4671|1515|10784|3946|11518|10359|5623|1667|5853|4130|10264|2250|3215|7874|1237|8836|11748|6155|7042|7793|10272|2432|6020|2396|5615|3096|4214|3752
356路,1941|6446|11991|11999|9082|11282|10383|3106|5485|7212|3641|891
357路,10791|736|2259|8970|414|10038|3264|8981|11275|11722|1854|11128|540|4300|6707|6755|7181|2387|2413|8798|517|10327|11285|514|7143|5195|567|3490|6299
358路,9580|1329|8395|5252|2383|10453|462|1212|411|5388|9036|44|10885|1140|7145|6327
359路,10062|10915|10506|7069|3584|9831|7827|10837|868|2727|9282|10239|11296|6563|7380|6632
360路,4150|9151|11795|3422|2729|8052|8366|8263|5609|7874|10358|11529|11971|7402|10702|210|10694|9448|10427|9775|9583|7483|1743|6010|10761|3085|6552|7573
360路快,5064|11790|8205|8052|8366|9855|10985|1638|11748|8836|3692|10702|210|10694|9448|9775|1743|6010|3085|6552|7573
361路,547|3977|10354|5779|10264|317|688|2155|8532|7218|6944|7805|9063|2086|3689|5098|2400|10969|2523|2876|10952|3372|2907|9054|10183|9421|3659|4986|5535|8781|573
362路,4150|6797|11795|3422|2729|11986|4784|8689|11717|1084|6819|3937|4663|7879|1957|9397|4988|11961|9322|11196
363路,1809|8558|7780|4586|2590|5378|6641|1240|10306|10431|6294|6877|3158|3013|10477|10695|5109
364路,69|1726|6209|11091|3951|6659|2379|4661|8880|7880|5013|10143|4420|10978|1500|9874|3223|6103|8567|11589|6931|7206|641|1404
365路,11550|10912|951|2023|9681|12036|1035|11737|3435|4469|381|943|4630|5184|9322|6223|10890|10457|6358|5096|10909|8551|8953|2896|7284|10359|5623|1667|5853|4130|10264|2250|3215|7874|10358|11529|11971|10702|210|2320|8559
365路区间,2788|10912|951|2023|9681|11983|2241|3298|2232|6742
366路,7564|10648|7106|10034|3141|11917|4417|10896|5347|6664|5345|1861|5004|8291|4336|11445|8360|11182|3849|9102|9278|11400|1341|5469|1139|3436|955|6928|9886|9128
366路快,7349|2824|482|8756|9102|9278|11400|1341|5469|1139|3436|955|6928|9886|9128
369路,9128|9886|6928|955|3436|6780|5469|8789|9320|8902|7019|8964|10588|1134|6390|10256|9272|3901|2972|11308|8291|1414|2844|8303|624|470
370路,3875|9651|261|9909|2579|2751|4448|4154|9144|8396|11506|10533|8775|9406|6365|7866|7546|6591|411|5388|10082|7381|6125|5864|11174|6315|12045|5848|4217|11981|4654|9630|4896|4352|7453|4570|8351|6324|11251|11671|5265
371路,9407|978|3347|6191|6226|11470|11974|7168|10155|551|9303|5650|8469|4572|10501|617|2266|2528
372路,9787|8186|2056|9650|360|6746|12043|662|7578|7040|7959|6202|1097|6696|10503|3068|5240|3735|3728|9542|4812|3940|2784
373路,111|7510|9722|290|8827|4771|4350|4352|7453|4570|9642|6324|11251|11671|5265|10022|289
374路,4084|4990|7647|664|700|287|10354|5779|1668|2709|4784|11986|85|2863|10747|9853|10022|289
375路,8913|873|1125|2248|2078|10512|6455|10720|5220|8739|5791|8822|11159|3946|11518|7284|2896|9146|2323|2657|1764|4532|9556|3524|1805|10704|7941|2897|9973|10838
376路,6299|4275|4325|10538|6538|5195|7143|514|11285|8798|2413|3267|10873
377路,4846|10244|8466|6520|8402|8248|1879|5920|5665|8947|8156|6235|7595|5491|3816|5500|6522|11182|3849|3996|9636|12038|6142
378路,9158|11300|1485|5731|11412|10643|2773|1465|8215|226|4284|2265|3234
379路,6812|10155|6243|11226|6450|8131|7276|8382|2899|2163|3262|1336|3496|10659|6838|5705|3868|7169|5114|6159|3136|3478|3465|2914|9817|2061|4596|2876|2523|1166|4133|7582|908|10915
380路,3790|3465|2914|4032|11474|11166|5926|2621|8639|7728|396|4948|10361|3033|11720
381路,11180|255|3091|8989|7090|5744|4399|11027|2417|11172|3816|10083|7824|8747|1821|362|9442|4423|10965|6389|115|10807|8074|3018|4846
383路,7543|4154|4765|2617|4100|2506|9725|7939|7913|11230|7226|1906|7590|10463
384路,5078|10099|3188|11753|2323|2657|1764|1805|10704|5348|7941|2301|11737|9705|12036|11983|2241|3298|11435|11541|6516|4459|1953|8193
384路区间,7734|10454|10099|3188|11753|2323|2657|1764|1805|10704|5348|7941|2301|11737|9705|12036|11983|2241|3298|11435|5928|11363|7020|6831|10786|1953|8193
385路,6446|11991|1231|8835|4952|9029|9464|10095|4777|6289|6851|4001|96|94|10916|1493|10319|8313|7029|7014|5351|2319|1023|7883|5136
386路,547|3977|7709|3887|2325|3671|4554|10720|5220|6642|8587|10020|11094|1475|572|9817|11371|4759|5935|479|3060|10189|4000|5175|9911|11070|6879|9002|7078|8448|2309
387路,289|5712|858|2708|2384|1125|2248|2078|6944|7805|2086|3689|5098|1759|4032|2914|3465|3345|5735
389路,11993|6747|2993|9644|7980|6179|5864|11996|11174|6315|12045|5615|11157|4292|11812|2551|9630|4896|6741|6245|9916|9175|9888|1608
