#node1Id,#node2Id,buses
11182,8360,827路|366路
11050,9682,密37路|密50路|密51路
1372,2329,空港6路
11040,9786,423路|夜12路|395路|56路
10398,5584,395路|459路
2244,6917,通1路
10434,1234,123路
11169,214,348路|397路
10876,9131,顺27路
11420,3335,平40路
10925,7300,957路
6538,8087,昌57路|昌13路|昌57路支
10494,3280,H12路
10230,4594,821路
5609,7917,437路|481路|运通124路
7904,8935,通31路
5735,6652,430路
5472,9280,897路
3405,4650,密8路支线|密8路|密15路|密11路|密66路|密65路|密68路|密67路|密62路|密61路|密63路|密60路
11204,6795,905路
10742,9095,967路|969路|840路
11439,5776,856路
11557,4599,兴50路
10949,7024,房25路
11115,6358,快速直达专线81路
2214,4587,昌67路
1809,662,322路
4215,8547,顺20路区间
1836,7379,房19路
11729,11937,密57路
4529,5405,Y04路
4330,7392,850路快|850路
3903,9343,夜27路|666路
6739,9933,昌53路
10626,10998,顺27路
3069,9357,兴19路|兴31路|兴35路|兴13路南线|兴20路|兴26路
8056,9744,通15路
8034,8634,密7路晚班
2806,8317,Y02路
2448,4893,郊81路
11088,9299,房29路
11448,3039,880路
6871,8597,顺29路
2536,2687,顺33路区间
6734,9975,892路
9237,9911,运通128路
1927,6457,昌61路
4484,7197,兴31路|兴13路南线
1610,8294,988路|991路|快速直达专线117路|445路|401路|402路|405路
10207,4761,647路
6703,8950,Y38路
1767,9385,顺36路区间|顺37路|顺36路|顺32路|顺29路|顺28路|顺28路区间汉石桥方向|顺28路区间道口
6531,8010,快速直达专线115路|751路
10325,11331,专8路
1035,3051,苏家坨通勤班车
6813,891,339路|951路|河北庄-朱家坟通勤班车|565路|830路|662路|978路|458路|459路|897路|983路
10146,4046,812路|818路|814路班车
1034,3063,空港8路
3098,9077,密52路
5502,6326,330路|908路|651路|633路
3355,5138,顺18路
2944,8256,909路|333路|963路|982路
7971,8288,938路卓达三溪塘专线|938路
1089,5159,811路|816路|817路|930路
11011,399,兴35路
11759,2595,通48路|808路|809路
3234,5010,夜25路
11425,3272,白草洼便民班车
1709,311,顺5路
1938,7662,昌37路|昌31路
5646,7561,623路
10807,115,381路|83路|夜18路|夜4路|特14路
6523,8117,605路|夜25路|585路|673路
2268,4025,994路|960路|964路|890路担礼|快速直达专线139路|快速直达专线68路|890路|快速直达专线107路
2456,4799,通4路
4565,6395,559路
10318,3642,916路快车|916路
3109,8972,专121路
3408,5983,681路|636路
3022,8459,夜13路|433路|快速公交2线|671路
5666,7379,房19路
7815,8500,12路
11448,3052,昌19路
8168,9931,通11路
11805,9148,昌57路支
2905,8631,密10路
11528,3585,25路
11105,776,通9路
7990,8083,952路|快速直达专线130路|391路|459路|896路|897路|983路
11526,2276,昌31路
5509,8941,昌52路
10835,9463,兴32路区间
8053,8423,专20路
2347,3225,房14路区
6909,6916,991路
1879,8248,377路|夜12路|474路|专26路|88路|48路
2488,3136,顺11路区间刘各庄
4135,9378,空港3路|顺31路区间
6623,8447,927路
6886,8478,532路
2262,4068,490路
4317,8887,862路
1934,6363,地铁5号线
4424,6484,昌13路
10539,11876,301路|620路
1368,3691,兴23路
10022,5265,373路|76路|89路
7924,8739,观光3线
1304,2987,H44路|866路
2836,9315,73路
5547,8574,顺5路
11287,8582,96路
2943,8241,38路
10718,9379,密7路晚班
11587,4255,平38路
2469,3321,地铁5号线
11428,4514,地铁4号线大兴线
11340,5395,昌16路
5668,8690,943路|943路快
2412,3892,专47路环线
11440,3066,H44路|H09路
2378,5566,552路|快速直达专线5路
11016,7306,顺28路
2335,5987,Y12路|Y13路|Y32路|Y38路
2325,3427,运通109路|611路|630路
4407,5338,顺20路
1713,9895,密16路
4116,8243,顺18路区间
11414,2067,兴27路
3629,3795,通11路
1245,3581,H30路
10213,11179,昌22路|昌2路|昌1路|昌55路
8195,8399,顺1路
11940,9069,顺35路|顺25路
7848,9522,密10路
2972,9272,954路|957路
5529,7434,959路|977路快定班|977路
5709,6963,7路|43路|12路
5618,6543,房17路|房19路
11013,8675,871路
