#nodeId,buses
7212,550路|河北庄-朱家坟通勤班车|830路|356路|978路
8546,顺35路|顺25路|942路支
11073,房47路|房36路|房36路区间
11076,郊100路|平20路|H52路|918路|平34路|H61路|平15路|平14路|顺28路区间汉石桥方向|852路|平18路|平17路|平16路
9874,专115路|648路|690路|快速公交2线|615路|442路|364路|583路
7215,兴44路|827路
8543,565路
8544,855路|913路
9875,640路
11075,642路|昌20路|887路
7214,夜11路|88路|741路|48路|395路|59路|19路|717路
240,空港9路|郊88路|顺29路|923路
241,813路
242,昌22路|昌21路|945路|昌68路|专70路|昌58路|昌19路|345路|专66路|昌53路|878路|922路|345路快|883路|670路上东廓|889路|670路|专45路
243,68路
244,Y25路
245,897路
246,941路|597路|598路|337路|959路|914路|527路|965路|快速直达专线31路|663路|专91路|598路区间|325路|545路
247,顺20路区间|顺40路|顺5路|顺39路|空港7路|顺23路|顺19路
248,345路|307路|670路上东廓|625路
249,通6路专线|通6路|435路|通4路|通44路|666路|806路
8538,顺18路区间|顺18路
7206,690路|397路|364路
9869,561路|夜19路|457路
11078,密1路西线
11077,592路|462路|520路|315路|运通119路
7205,顺25路|顺20路
8539,房30路|房28路
8536,房50路|907路|房2路|房35路|房36路|房36路区间
7208,590路|昌52路
9867,850路快|850路
9868,Y18路|Y29路|Y34路
8537,房19路
11079,335路|92路|588路环线
7207,兴33路
7209,802路
8552,房33路
9883,620路|运通128路
7220,密61路
9884,911路|486路|140路
8553,兴37路
7222,通21路
8550,通28路|兴46路|兴30路
9881,专27路
7221,639路|813路|快速直达专线55路|819路|通6路|517路|824路|911路|342路|306路|快速直达专线69路|582路|586路|587路|675路|快速直达专线105路
8551,681路|运通105路|429路|快速直达专线81路|562路|432路|699路|614路|664路|717路|运通126路|运通124路|特4路|365路|982路
9882,兴1路
8556,816路
9887,房17路|房19路
11041,临8路
7224,通46路
8557,通27路|通43路|通14路|通53路|郊90路
9888,597路|专110路|快速直达专线112路|78路|79路|专11路|736路|389路|308路|612路|452路
11040,423路|78路|夜12路|395路|56路
7223,602路
